date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-09-27 16:55:40.280000+00:00,40.2923333,-124.384,20.107,1.61,False,False,False,True
2009-09-28 02:27:38.920000+00:00,39.5906667,-121.8405,19.051,2.34,False,False,False,True
2009-09-28 21:16:17.660000+00:00,39.43,-123.1536667,6.543,1.57,False,False,True,True
2009-09-29 14:04:53.580000+00:00,42.0145,-124.427,-1.16,1.6,False,False,True,True
2009-09-29 16:43:37.660000+00:00,44.9975,-122.7788333,21.877,2.06,False,False,False,True
2009-09-30 01:38:58.340000+00:00,46.3405,-122.235,6.711,2.0,False,False,False,False
2009-09-30 05:30:28.360000+00:00,39.4226667,-120.5703333,0.247,1.78,False,False,False,False
2009-09-30 13:38:59.920000+00:00,40.4783333,-125.495,16.522,2.7,False,False,False,False
2009-09-30 13:52:05.360000+00:00,40.5403333,-123.8378333,21.261,1.66,False,True,True,True
2009-09-30 19:53:30.620000+00:00,47.6671667,-120.6271667,0.162,2.1,False,False,False,False
2009-10-01 03:10:06.680000+00:00,47.182,-123.2278333,43.556,3.4,False,False,True,True
2009-10-01 04:12:43.170000+00:00,39.0131667,-123.5823333,-0.59,1.77,False,False,False,True
2009-10-01 07:15:05.940000+00:00,46.8371667,-121.78,-2.041,1.6,False,False,False,False
2009-10-01 11:19:57.920000+00:00,43.154,-127.546,10.0,2.8,False,False,False,False
2009-10-01 16:38:24.330000+00:00,40.4475,-126.348,4.412,3.01,False,False,False,False
2009-10-02 04:16:48.350000+00:00,40.3968333,-125.7245,6.557,2.71,False,False,False,False
2009-10-02 05:11:25.790000+00:00,47.9478333,-122.3075,34.207,1.7,False,False,True,True
2009-10-02 09:17:12.690000+00:00,40.487,-126.507,10.0,4.7,False,False,False,False
2009-10-02 10:12:00.210000+00:00,40.4651667,-124.5518333,23.707,2.22,False,False,False,True
2009-10-02 10:12:47.960000+00:00,40.4233333,-124.4735,25.427,2.13,False,False,False,True
2009-10-02 20:42:12.420000+00:00,46.1396667,-122.8198333,-0.762,2.0,False,False,False,False
2009-10-02 21:05:36.880000+00:00,47.8763333,-122.6595,-0.368,1.5,False,False,False,False
2009-10-02 23:38:31.310000+00:00,46.8541667,-121.7581667,0.197,1.5,False,False,False,False
2009-10-03 00:45:50+00:00,42.0838333,-119.1611667,11.29,3.13,False,False,False,False
2009-10-03 03:16:01.820000+00:00,40.3526667,-123.3931667,26.452,1.89,True,True,True,True
2009-10-03 05:41:45.560000+00:00,39.5263333,-123.3285,8.65,2.15,False,False,True,True
2009-10-03 08:55:07.600000+00:00,47.6613333,-122.0811667,26.208,1.9,False,False,False,True
2009-10-03 11:57:37.680000+00:00,46.1978333,-123.1463333,23.114,2.4,False,True,True,True
2009-10-03 16:09:12.130000+00:00,40.6751667,-122.2178333,16.791,1.57,False,False,False,True
2009-10-03 20:36:03.190000+00:00,40.4833333,-124.509,17.565,2.08,False,False,True,True
2009-10-04 07:13:13.090000+00:00,39.9738333,-120.8788333,10.864,1.63,False,False,False,False
2009-10-04 13:33:42.120000+00:00,47.3631667,-122.6048333,24.302,1.9,False,True,True,True
2009-10-04 14:26:48.780000+00:00,46.4151667,-119.2736667,1.253,1.8,False,False,False,False
2009-10-04 15:35:23.520000+00:00,39.3956667,-122.8956667,10.618,2.65,False,False,True,True
2009-10-04 18:58:32.780000+00:00,40.2408333,-124.1358333,15.289,1.78,False,True,True,True
2009-10-05 01:51:27.580000+00:00,46.8185,-121.949,11.035,2.0,False,False,False,False
2009-10-05 01:56:59.449000+00:00,39.5557,-119.9566,8.1,2.3,False,False,False,False
2009-10-05 04:42:18.420000+00:00,40.3238333,-124.711,16.277,1.86,False,False,False,True
2009-10-05 08:04:51.619000+00:00,39.1072,-119.7113,0.8,1.7,False,False,False,False
2009-10-05 08:21:46.700000+00:00,48.2943333,-122.5758333,23.455,2.0,False,False,False,True
2009-10-05 19:27:35.150000+00:00,39.8176667,-123.2135,3.627,2.34,False,False,True,True
2009-10-05 19:59:55.730000+00:00,40.4566667,-120.6811667,4.123,1.68,False,False,False,False
2009-10-05 20:06:24.710000+00:00,40.4441667,-120.683,7.703,1.63,False,False,False,False
2009-10-05 20:10:51.490000+00:00,40.4515,-120.6798333,13.587,1.84,False,False,False,False
